,,,,,,,,,,,,,,,,,,,,,,,,,,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх
,Байршил,Барааны нэр,Эцсийн үлдэгдэл,,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх,Орлого нийт,Зарлага нийт,Үлдэгдэл,,,,Байршил, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
264,PN Store,Protein cream 400g Duo white chocolate-chocolate,0,0,144,0,4,0,0,0,50,63,6,0,31,0,0,0,148,150,-2,,,,,,,,,,,,,,,,,,
265,PN Store,Protein snap,0,0,1290,0,137,13,0,0,387,441,222,0,341,0,0,0,1440,1391,49,,,,,,,,,,,,,,,,,,
266,PN Store,Protein chips 7*40g sour cream&onion,0,0,147,0,5,0,0,0,52,79,0,0,10,0,0,0,152,141,11,,,,,,,,,,,,,,,,,,
267,PN Store,ISO Whey 500g - Hazelnut,0,0,213,0,2,0,0,0,78,60,18,0,47,0,0,0,215,203,12,,,,,,,,,,,,,,,,,,
268,PN Store,Snack 12*45g Caramel,0,0,96,0,12,0,0,0,52,56,0,0,0,0,0,0,108,108,0,,,,,,,,,,,,,,,,,,
269,PN Store,Energy Gel 60g Peach,0,0,190,0,36,0,0,0,95,93,24,0,5,0,0,0,226,217,9,,,,,,,,,,,,,,,,,,
270,PN Store,Snack 12*45g Peach,0,0,96,0,31,0,0,0,78,61,0,0,0,0,0,0,127,139,-12,,,,,,,,,,,,,,,,,,
271,PN Store,Protein chips 7*40g Barbeque,0,0,147,0,2,0,0,0,51,53,0,0,19,0,0,0,149,123,26,,,,,,,,,,,,,,,,,,
272,PN Store,ISO Whey sample - Chocolate 25g,0,0,150,0,16,0,0,0,55,28,65,0,18,0,0,0,166,166,0,,,,,,,,,,,,,,,,,,
273,PN Store,Snack 12*45g BlueBerry,0,0,95,0,12,0,0,0,46,50,12,0,0,0,0,0,107,108,-1,,,,,,,,,,,,,,,,,,
274,PN Store,Protein wafer,0,0,696,0,22,0,0,0,162,318,83,0,149,0,0,0,718,712,6,,,,,,,,,,,,,,,,,,
275,PN Store,Snack 12*45g Chocolate,0,0,96,0,22,0,0,0,67,38,12,0,0,0,0,0,118,117,1,,,,,,,,,,,,,,,,,,
276,PN Store,Snack 12*45g Double Chocolate,0,0,96,0,0,0,0,0,36,46,0,0,0,0,0,0,96,82,14,,,,,,,,,,,,,,,,,,
277,PN Store,Nitrox sample - Blue grape 17g,0,0,200,0,41,0,0,0,151,97,0,0,1,0,0,0,241,249,-8,,,,,,,,,,,,,,,,,,
289,PN Store,ISO Whey 500g - Cookies,0,0,83,0,1,0,0,0,60,16,2,0,3,0,0,0,84,81,3,,,,,,,,,,,,,,,,,,
292,PN Store,Jack's WPC 1000g,0,0,22,0,2,2,0,152,38,0,24,0,59,0,56,0,178,177,1,,,,,,,,,,,,,,,,,,
293,PN Store,Jack's shaker,0,0,0,0,0,0,0,153,78,0,0,0,71,0,0,0,153,149,4,,,,,,,,,,,,,,,,,,
294,PN Store,ISO Whey sample - Strawberry 25g,0,0,250,0,0,0,0,0,42,116,61,0,37,0,0,0,250,256,-6,,,,,,,,,,,,,,,,,,
295,PN Store,ISO Whey sample - Hazelnut 25g,0,0,200,0,0,0,0,0,0,74,51,0,83,0,0,0,200,208,-8,,,,,,,,,,,,,,,,,,
296,PN Store,ISO Whey sample - Bananas 25g,0,0,200,0,46,1,0,0,49,119,0,0,75,0,0,0,247,243,4,,,,,,,,,,,,,,,,,,
297,PN Store,ISO Whey sample - Pineapple 25g,0,0,100,0,23,0,0,0,44,77,0,0,0,0,0,0,123,121,2,,,,,,,,,,,,,,,,,,
298,PN Store,ISO Whey 500g - Tiramisu,0,0,91,0,0,0,0,0,68,21,1,0,5,0,0,0,91,95,-4,,,,,,,,,,,,,,,,,,
301,PN Store,ISO Whey 500g - Coconut,0,0,131,0,1,0,0,0,50,58,11,0,11,0,0,0,132,130,2,,,,,,,,,,,,,,,,,,
302,PN Store,ISO Whey 500g - Raspberry,0,0,191,0,0,0,0,0,95,23,20,0,45,0,0,0,191,183,8,,,,,,,,,,,,,,,,,,
305,PN Store,Nitrox sample - Tropical 17g,0,0,254,0,14,0,0,0,34,209,50,0,15,0,0,0,268,308,-40,,,,,,,,,,,,,,,,,,
