,Кредит,Дебет,"сар, өдөр", Дүн 
90,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/30/2023 0:00," 147,000.00 "
91,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 200.00 
92,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
93,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/30/2023 0:00," 196,000.00 "
94,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 200.00 
95,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
96,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/30/2023 0:00," 250,000.00 "
97,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 200.00 
98,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
99,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/30/2023 0:00," 250,000.00 "
100,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
101,110101 - Үндсэн данс /417035100/,310501 - НДШ - ийн өглөг,3/30/2023 0:00," 4,606,587.31 "
102,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
103,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,3/30/2023 0:00," 200,000.00 "
104,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 200.00 
105,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
106,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,3/30/2023 0:00," 250,000.00 "
107,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
108,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/31/2023 0:00," 1,000.00 "
109,110101 - Үндсэн данс /417035100/,"700301 - Албан татвар, төлбөр, хураамжийн зардал",3/31/2023 0:00," 3,180.22 "
110,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/3/2023 0:00," 500,000.00 "
111,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/3/2023 0:00, 200.00 
112,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/3/2023 0:00, 100.00 
113,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/3/2023 0:00," 100,000.00 "
114,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/3/2023 0:00, 100.00 
115,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/6/2023 0:00," 2,179,306.15 "
116,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/6/2023 0:00," 1,037,764.83 "
117,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/6/2023 0:00," 10,600.00 "
118,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/6/2023 0:00," 9,236,075.89 "
119,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/6/2023 0:00," 4,398,131.38 "
120,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/6/2023 0:00," 13,000.00 "
121,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/6/2023 0:00," 7,905,454.72 "
122,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/6/2023 0:00," 3,764,502.25 "
123,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/6/2023 0:00," 10,600.00 "
124,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/6/2023 0:00," 10,595,192.07 "
125,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/6/2023 0:00," 5,045,329.56 "
126,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/6/2023 0:00," 10,600.00 "
127,110101 - Үндсэн данс /417035100/,712101 - Хангамжын материалын зардал,4/6/2023 0:00," 590,000.00 "
128,110101 - Үндсэн данс /417035100/,120201 - НӨАТ - ын авлага,4/6/2023 0:00," 59,000.00 "
129,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/6/2023 0:00, 200.00 
130,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/6/2023 0:00, 100.00 
131,110101 - Үндсэн данс /417035100/,120601 - Ажиллагчдаас авах авлага,4/6/2023 0:00," 680,000.00 "
132,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/6/2023 0:00, 100.00 
133,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/6/2023 0:00, 100.00 
134,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/6/2023 0:00, 100.00 
135,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/6/2023 0:00, 100.00 
136,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/6/2023 0:00, 100.00 
137,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/10/2023 0:00," 1,400,000.00 "
138,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/10/2023 0:00, 200.00 
139,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/10/2023 0:00, 100.00 
140,110101 - Үндсэн данс /417035100/,870903 - Баримтаар нотлогдохгүй байгаа ханшийн зөрүүний гарз,4/13/2023 0:00," 590,810.00 "
141,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/13/2023 0:00, 100.00 
142,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,4/14/2023 0:00," 250,000.00 "
143,110101 - Үндсэн данс /417035100/,120604 - Цалингийн урьдчилгаа,4/14/2023 0:00," 10,300,000.00 "
144,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/14/2023 0:00," 298,000.00 "
145,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 200.00 
146,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 100.00 
147,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/14/2023 0:00," 41,000.00 "
148,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 200.00 
149,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 100.00 
150,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,4/14/2023 0:00," 1,650,000.00 "
151,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 200.00 
152,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 100.00 
153,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,4/14/2023 0:00," 250,000.00 "
154,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 100.00 
155,110101 - Үндсэн данс /417035100/,702801 - Бусад зардал,4/14/2023 0:00," 50,818.18 "
156,110101 - Үндсэн данс /417035100/,120201 - НӨАТ - ын авлага,4/14/2023 0:00," 5,081.82 "
157,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 100.00 
158,110101 - Үндсэн данс /417035100/,120604 - Цалингийн урьдчилгаа,4/14/2023 0:00," 500,000.00 "
159,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 200.00 
160,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 100.00 
161,110101 - Үндсэн данс /417035100/,120604 - Цалингийн урьдчилгаа,4/14/2023 0:00," 266,500.00 "
162,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 200.00 
163,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 100.00 
164,110101 - Үндсэн данс /417035100/,120604 - Цалингийн урьдчилгаа,4/14/2023 0:00," 275,000.00 "
165,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 100.00 
166,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/14/2023 0:00," 262,000.00 "
167,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 200.00 
168,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/14/2023 0:00, 100.00 
169,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,4/17/2023 0:00," 1,650,000.00 "
170,110101 - Үндсэн данс /417035100/,340104 - Бусад урт хугацаат өр төлбөр,4/17/2023 0:00," 10,000,000.00 "
171,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/17/2023 0:00," 153,425.00 "
172,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/17/2023 0:00," 153,425.00 "
173,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/17/2023 0:00," 75,850.00 "
174,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/17/2023 0:00," 153,425.00 "
175,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/17/2023 0:00," 77,575.00 "
176,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/17/2023 0:00, 100.00 
177,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/17/2023 0:00, 200.00 
178,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/17/2023 0:00, 100.00 
179,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/17/2023 0:00, 400.00 
180,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/17/2023 0:00, 100.00 
181,110101 - Үндсэн данс /417035100/,120201 - НӨАТ - ын авлага,4/19/2023 0:00," 227,272.73 "
182,110101 - Үндсэн данс /417035100/,711401 - Түрээсийн зардал,4/19/2023 0:00," 2,272,727.27 "
183,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/19/2023 0:00, 100.00 
184,110101 - Үндсэн данс /417035100/,700701 - Мэргэжлийн үйлчилгээний зардал,4/19/2023 0:00," 461,000.00 "
185,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/19/2023 0:00, 200.00 
186,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/19/2023 0:00, 100.00 
187,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/20/2023 0:00," 530,000.00 "
